iter	Passed	Remaining
226	1958	6669
227	1960	6638
228	1962	6607
229	1964	6576
230	1965	6544
231	1967	6513
232	1969	6482
233	1970	6451
234	1972	6420
235	1974	6392
236	1980	6376
237	1982	6346
238	1983	6316
239	1985	6286
240	1987	6257
241	1988	6229
242	1990	6200
243	1992	6173
244	1994	6146
245	1996	6120
246	2002	6105
247	2004	6077
248	2006	6050
249	2007	6023
250	2009	5995
251	2014	5979
252	2016	5953
253	2018	5927
254	2019	5901
255	2021	5874
256	2028	5865
257	2030	5840
258	2032	5814
259	2033	5788
260	2035	5763
261	2041	5750
262	2043	5725
263	2044	5700
264	2046	5676
265	2048	5652
266	2050	5629
267	2052	5604
268	2054	5582
269	2055	5558
270	2057	5536
271	2059	5512
272	2065	5499
273	2066	5476
274	2068	5452
275	2069	5429
276	2071	5407
277	2073	5384
278	2075	5362
279	2076	5339
280	2077	5316
281	2079	5294
282	2083	5278
283	2085	5256
284	2086	5235
285	2088	5213
286	2090	5194
287	2094	5177
288	2095	5156
289	2097	5136
290	2099	5114
291	2101	5095
292	2102	5074
293	2108	5062
294	2109	5041
295	2111	5021
296	2112	5001
297	2114	4981
298	2117	4964
299	2123	4953
300	2124	4934
301	2126	4914
302	2127	4894
303	2151	4925
304	2153	4907
305	2155	4889
306	2157	4870
307	2160	4855
308	2163	4837
309	2168	4826
310	2170	4808
311	2177	4801
312	2179	4783
313	2183	4769
314	2185	4751
315	2187	4734
316	2189	4717
317	2192	4701
318	2193	4683
319	2195	4666
320	2197	4648
321	2205	4644
322	2207	4626
323	2209	4609
324	2212	4595
325	2214	4578
326	2216	4561
327	2218	4544
328	2220	4527
329	2224	4517
330	2226	4500
331	2228	4483
332	2230	4467
333	2233	4452
334	2239	4445
335	2241	4428
336	2242	4412
337	2245	4397
338	2247	4382
339	2249	4366
340	2251	4350
341	2252	4334
342	2254	4318
343	2261	4312
344	2262	4296
345	2264	4280
346	2266	4265
347	2275	4264
348	2279	4252
349	2284	4242
350	2291	4236
351	2296	4228
352	2300	4215
353	2302	4201
354	2310	4198
355	2312	4183
356	2314	4168
357	2316	4153
358	2317	4137
359	2319	4123
360	2321	4108
361	2323	4095
362	2325	4080
363	2327	4066
364	2329	4053
365	2334	4044
366	2337	4031
367	2338	4016
368	2340	4002
369	2342	3987
370	2345	3976
371	2347	3962
372	2348	3948
373	2350	3933
374	2351	3919
375	2358	3914
376	2361	3901
377	2363	3888
378	2366	3877
379	2370	3866
380	2371	3853
381	2373	3840
382	2375	3826
383	2376	3812
384	2379	3801
385	2382	3789
386	2384	3776
387	2386	3763
388	2387	3750
389	2393	3743
390	2395	3730
391	2396	3717
392	2398	3704
393	2399	3691
394	2403	3681
395	2407	3671
396	2409	3659
397	2410	3646
398	2412	3633
399	2414	3621
400	2418	3612
401	2420	3600
402	2421	3587
403	2423	3574
404	2428	3567
405	2431	3557
406	2433	3544
407	2436	3535
408	2438	3523
409	2439	3510
410	2441	3498
411	2443	3486
412	2445	3475
413	2449	3466
414	2450	3454
415	2452	3442
416	2453	3430
417	2455	3418
418	2461	3412
419	2462	3401
420	2464	3389
421	2466	3378
422	2468	3367
423	2470	3356
424	2473	3346
425	2475	3334
426	2476	3323
427	2477	3311
428	2480	3301
429	2483	3292
430	2485	3281
431	2486	3269
432	2488	3258
433	2491	3249
434	2493	3238
435	2496	3230
436	2498	3218
437	2499	3207
438	2501	3196
439	2504	3186
440	2507	3178
441	2510	3169
442	2512	3158
443	2513	3147
444	2515	3137
445	2517	3126
446	2521	3119
447	2523	3108
448	2525	3098
449	2526	3087
450	2528	3078
451	2530	3067
452	2535	3061
453	2537	3051
454	2538	3041
455	2540	3031
456	2543	3021
457	2548	3016
458	2550	3006
459	2552	2995
460	2553	2985
461	2556	2977
462	2560	2969
463	2561	2959
464	2563	2949
465	2564	2939
466	2566	2929
467	2571	2922
468	2573	2913
469	2575	2903
470	2576	2894
471	2581	2887
472	2585	2880
473	2587	2871
474	2589	2861
475	2590	2851
476	2593	2843
477	2595	2834
478	2596	2824
479	2598	2815
480	2600	2805
481	2603	2798
482	2606	2790
483	2609	2781
484	2610	2772
485	2612	2762
486	2614	2753
487	2620	2749
488	2622	2740
489	2624	2731
490	2626	2722
491	2630	2716
492	2632	2707
493	2634	2698
494	2636	2689
495	2637	2680
496	2639	2671
497	2644	2665
498	2646	2656
499	2647	2647
500	2649	2639
501	2651	2630
502	2657	2625
503	2659	2617
504	2660	2608
505	2662	2599
506	2664	2591
507	2668	2584
508	2670	2575
509	2671	2567
510	2673	2558
511	2674	2549
512	2679	2543
513	2682	2536
514	2684	2528
515	2686	2519
516	2687	2511
517	2690	2503
518	2695	2498
519	2696	2489
520	2698	2481
521	2700	2472
522	2702	2464
523	2704	2456
524	2707	2449
525	2709	2441
526	2711	2433
527	2712	2425
528	2714	2416
529	2720	2412
530	2721	2404
531	2723	2395
532	2725	2388
533	2727	2380
534	2730	2373
535	2732	2365
536	2733	2357
537	2735	2349
538	2738	2342
539	2740	2334
540	2744	2328
541	2746	2320
542	2748	2312
543	2749	2305
544	2752	2298
545	2756	2291
546	2758	2284
547	2760	2276
548	2762	2269
549	2769	2266
550	2772	2258
551	2773	2251
552	2776	2244
553	2781	2239
554	2783	2231
555	2785	2224
556	2786	2216
557	2788	2209
558	2793	2204
559	2795	2196
560	2796	2188
561	2797	2180
562	2799	2173
563	2801	2165
564	2802	2157
565	2804	2150
566	2806	2143
567	2807	2135
568	2809	2128
569	2812	2121
570	2813	2113
571	2817	2108
572	2819	2101
573	2821	2094
574	2823	2086
575	2826	2080
576	2830	2075
577	2832	2068
578	2834	2060
579	2835	2053
580	2837	2046
581	2839	2039
582	2843	2033
583	2845	2026
584	2846	2019
585	2848	2012
586	2850	2005
587	2854	1999
588	2856	1993
589	2858	1986
590	2859	1979
591	2861	1971
592	2863	1965
593	2869	1961
594	2871	1954
595	2873	1947
596	2875	1940
597	2877	1934
598	2883	1930
599	2885	1923
600	2887	1916
601	2888	1909
602	2890	1903
603	2893	1897
604	2896	1891
605	2898	1884
606	2900	1877
607	2902	1871
608	2903	1864
609	2906	1858
610	2908	1851
611	2909	1844
612	2911	1838
613	2913	1831
614	2915	1825
615	2919	1819
616	2921	1813
617	2922	1806
618	2924	1799
619	2925	1793
620	2928	1787
621	2932	1781
622	2934	1775
623	2935	1769
624	2937	1762
625	2939	1755
626	2945	1752
627	2947	1745
628	2949	1739
629	2950	1732
630	2952	1726
631	2957	1722
632	2959	1715
633	2962	1709
634	2963	1703
635	2967	1698
636	2969	1691
637	2971	1686
638	2973	1679
639	2978	1675
640	2980	1669
641	2982	1663
642	2984	1656
643	2986	1650
644	2989	1645
645	2992	1639
646	2995	1634
647	3001	1630
648	3004	1624
649	3006	1618
650	3008	1612
651	3012	1607
652	3014	1602
653	3016	1595
654	3018	1589
655	3020	1583
656	3024	1579
657	3062	1591
658	3064	1585
659	3067	1580
660	3076	1577
661	3078	1571
662	3080	1565
663	3082	1560
664	3085	1554
665	3087	1548
666	3089	1542
667	3092	1537
668	3096	1532
669	3098	1526
670	3101	1520
671	3103	1514
672	3105	1508
673	3108	1503
674	3110	1497
675	3112	1491
676	3113	1485
677	3119	1481
678	3121	1475
679	3123	1469
680	3125	1464
681	3127	1458
682	3132	1453
683	3133	1447
684	3135	1441
685	3136	1435
686	3139	1430
687	3144	1426
688	3146	1420
689	3147	1414
690	3149	1408
691	3152	1403
692	3155	1398
693	3158	1392
694	3159	1386
695	3161	1380
696	3163	1375
697	3166	1369
698	3169	1364
699	3171	1359
700	3173	1353
701	3174	1347
702	3178	1342
703	3180	1337
704	3182	1331
705	3184	1326
706	3185	1320
707	3187	1314
708	3191	1309
709	3193	1304
710	3195	1298
711	3196	1293
712	3198	1287
713	3202	1282
714	3204	1277
715	3206	1271
716	3207	1266
717	3209	1260
718	3211	1255
719	3217	1251
720	3218	1245
721	3220	1239
722	3221	1234
723	3223	1228
724	3225	1223
725	3227	1218
726	3233	1214
727	3234	1208
728	3236	1203
729	3238	1197
730	3240	1192
731	3245	1188
732	3246	1182
733	3248	1177
734	3250	1171
735	3252	1166
736	3254	1161
737	3259	1157
738	3261	1151
739	3263	1146
740	3267	1142
741	3269	1136
742	3271	1131
743	3273	1126
744	3275	1121
745	3279	1116
746	3281	1111
747	3283	1106
748	3284	1100
749	3286	1095
750	3289	1090
751	3293	1086
752	3295	1080
753	3296	1075
754	3298	1070
755	3300	1065
756	3304	1060
757	3305	1055
758	3307	1050
759	3309	1045
760	3312	1040
761	3318	1036
762	3320	1031
763	3323	1026
764	3325	1021
765	3329	1017
766	3331	1011
767	3332	1006
768	3334	1001
769	3337	997
770	3344	993
771	3346	988
772	3347	983
773	3349	978
774	3351	972
775	3356	968
776	3357	963
777	3359	958
778	3361	953
779	3365	949
780	3369	944
781	3371	939
782	3372	934
783	3374	929
784	3375	924
785	3378	919
786	3381	915
787	3383	910
788	3385	905
789	3387	900
790	3388	895
791	3394	891
792	3395	886
793	3397	881
794	3398	876
795	3400	871
796	3402	866
797	3408	862
798	3410	857
799	3411	852
800	3413	847
801	3415	843
802	3418	838
803	3420	833
804	3422	829
805	3423	824
806	3425	819
807	3427	814
808	3429	809
809	3434	805
810	3436	800
811	3438	796
812	3439	791
813	3441	786
814	3446	782
815	3448	777
816	3449	772
817	3451	767
818	3453	763
819	3459	759
820	3462	754
821	3463	749
822	3464	745
823	3466	740
824	3467	735
825	3469	730
826	3472	726
827	3474	721
828	3475	716
829	3477	712
830	3478	707
831	3479	702
832	3480	697
833	3483	693
834	3484	688
835	3486	683
836	3487	679
837	3489	674
838	3493	670
839	3498	666
840	3500	661
841	3502	657
842	3504	652
843	3505	647
844	3507	643
845	3509	638
846	3510	634
847	3512	629
848	3513	624
849	3516	620
850	3520	616
851	3523	612
852	3526	607
853	3529	603
854	3531	598
855	3535	594
856	3541	591
857	3546	586
858	3548	582
859	3551	578
860	3553	573
861	3561	570
862	3563	565
863	3567	561
864	3575	557
865	3579	553
866	3581	549
867	3589	545
868	3591	541
869	3596	537
870	3598	533
871	3607	529
872	3609	525
873	3611	520
874	3621	517
875	3625	513
876	3627	508
877	3635	505
878	3637	500
879	3640	496
880	3643	492
881	3646	487
882	3649	483
883	3652	479
884	3656	475
885	3658	470
886	3660	466
887	3667	462
888	3669	458
889	3671	453
890	3674	449
891	3680	445
892	3682	441
893	3684	436
894	3686	432
895	3689	428
896	3691	423
897	3693	419
898	3696	415
899	3702	411
900	3704	407
901	3706	402
902	3708	398
903	3715	394
904	3719	390
905	3725	386
906	3727	382
907	3731	378
908	3733	373
909	3738	369
910	3740	365
911	3742	361
912	3744	356
913	3745	352
914	3749	348
915	3751	344
916	3753	339
917	3754	335
918	3756	331
919	3763	327
920	3765	323
921	3770	318
922	3779	315
923	3781	311
924	3783	306
925	3785	302
926	3790	298
927	3792	294
928	3793	289
929	3795	285
930	3797	281
931	3798	277
932	3803	273
933	3804	268
934	3806	264
935	3808	260
936	3809	256
937	3811	251
938	3814	247
939	3815	243
940	3816	239
941	3817	235
942	3818	230
943	3820	226
944	3822	222
945	3825	218
946	3826	214
947	3828	209
948	3829	205
949	3831	201
950	3833	197
951	3835	193
952	3839	189
953	3840	185
954	3842	181
955	3843	176
956	3845	172
957	3846	168
958	3850	164
959	3852	160
960	3853	156
961	3855	152
962	3856	148
963	3858	144
964	3859	139
965	3896	137
966	3899	133
967	3901	128
968	3905	124
969	3907	120
970	3909	116
971	3911	112
972	3913	108
973	3917	104
974	3919	100
975	3920	96
976	3922	92
977	3928	88
978	3930	84
979	3932	80
980	3934	76
981	3936	72
982	3938	68
983	3939	64
984	3941	60
985	3945	56
986	3947	51
987	3950	47
988	3953	43
989	3955	39
990	3957	35
991	3958	31
992	3964	27
993	3965	23
994	3967	19
995	3968	15
996	3969	11
997	3971	7
998	3975	3
999	3976	0
